,f [Hz],V1 [mVpp],V2 [mVpp],phase
160,27090,3960,234,-81.18
161,26970,3960,202,-80.97
162,26900,4000,174,-81.83
163,26820,4018,146,-81.38
164,26680,3960,118,-80.21
165,26570,3960,86,-78.98
166,25490,4012,61,-75.45
167,26390,4019,33,-65.07
168,26330,4012,15,-5.79
169,26170,4013,34,61.61
170,26070,4017,58,75.1
171,25990,4011,90,80.53
172,25880,4013,118,82.37
173,25790,4013,150,82.79
174,24410,3960,588,81.07
175,24490,3960,556,81.52
176,24600,3960,524,81.99
177,24680,3960,496,82.75
178,24780,3960,464,83.01
179,24900,3960,432,83.45
180,25010,3960,400,83.43
181,25080,4015,368,83.25
182,25200,4015,336,82.91
183,25330,4015,304,83.3
184,25400,4011,272,83.38
185,25500,4012,240,83.27
186,25610,4013,212,82.24
187,25570,4020,212,82.09
188,25700,4012,180,81.07
189,25790,4011,148,80.92
190,25920,4017,125,81.2
191,25980,4016,94,77.87
192,26110,4015,63,72.46
193,26070,4014,78,76.5
194,26150,3960,49,70.29
195,26200,4015,34,59.21
196,26220,4014,22,39.59
197,26320,4014,16,-10.75
198,26340,4015,21,-51.56
199,26390,4017,30,-70.39
200,26430,4000,47,-73.94
201,26470,4017,62,-77.67
202,26600,4019,91,-82.04
203,26660,4000,106,-81.47
204,26700,4017,120,-81
205,26760,4017,128,-81.13
206,26820,4014,145,-81.7
207,26820,3960,156,-82.91
208,26890,4014,172,-84.01
209,26950,4013,188,-83.77
210,27010,3960,204,-83.21
211,27100,3960,232,-81.85
212,27210,4013,260,-83.82
213,27300,4013,288,-82.68
214,27420,4009,322,-81.96
215,27500,3960,348,-82.07
216,27590,3960,376,-80.75
217,27700,4013,404,-81.99
218,27790,4010,437,-81.98
219,27910,4011,465,-81.03
220,28000,3960,488,-80.16
221,28110,3960,516,-80.39
222,28220,3960,540,-79.88
223,28290,3960,568,-78.82
224,28310,3960,568,-78.74
138,19990,3960,1898,60.73
139,24000,3960,718,78.92
140,25980,4017,117,73.24
141,28000,3960,495,-78.76
142,30990,3960,1177,-67.4
143,34000,3960,1736,-59.57
144,33000,3960,1520,-63.95
145,31980,3960,1360,-67.2
146,30990,3960,1175,-67.25
147,29970,3960,978,-69.56
148,29020,3960,753,-74.71
149,27990,4014,492,-77.74
150,27010,4015,208,-82.68
151,26000,4018,111,68.99
152,24990,4016,399,80.38
153,26000,4019,110,66.84
154,24000,4015,716,78.07
155,24000,4014,719,79.35
156,23010,4011,1041,75.05
157,22000,3960,1280,70.85
158,21010,3960,1600,65.54
