image, V1 [mVpp], V2 [mVpp], phase , frequency [kHz]
tek00137.png, 96.00, 94.00, 179.6, 0.9997
tek00138.png, 96.00, 94.00, 179.4, 1.996
tek00139.png, 96.00, 94.00, 179.0, 2.996
tek00140.png, 96.00, 94.00, -179.9, 4.005
tek00141.png, 96.94, 94.00, 180.0, 5.010
tek00142.png, 96.00, 94.00, 179.7, 6.004
tek00143.png, 96.00, 94.00, 179.9, 6.987
tek00144.png, 96.80, 94.00, -178.6, 7.986
tek00145.png, 96.92, 94.00, -177.8, 9.004
tek00146.png, 96.00, 94.00, -179.5, 10.01
tek00147.png, 97.65, 94.00, -177.5, 15.00
tek00148.png, 94.74, 94.00, 179.8, 20.02
tek00149.png, 94.80, 94.00, -174.3, 25.05
tek00150.png, 94.00, 94.00, -177.3, 29.99
tek00151.png, 94.74, 94.00, -172.7, 35.03
tek00152.png, 97.67, 94.00, -174.7, 39.94
tek00153.png, 94.69, 94.00, -171.8, 45.05
tek00154.png, 94.84, 94.00, -176.2, 49.92
tek00155.png, 97.53, 94.00, -173.0, 60.02
tek00156.png, 94.80, 94.00, -173.1, 70.08
tek00157.png, 96.77, 94.96, -168.6, 79.90
tek00158.png, 96.93, 94.98, -168.0, 89.92
tek00159.png, 97.74, 92.99, -166.2, 100.1
tek00160.png, 96.85, 90.00, -164.1, 120.1
tek00161.png, 96.88, 90.00, -162.1, 139.8
tek00162.png, 96.00, 90.00, -157.5, 160.4
tek00163.png, 97.95, 90.00, -156.4, 170.0
tek00164.png, 96.00, 90.00, -156.6, 179.7
tek00165.png, 96.00, 90.00, -154.3, 190.2
tek00166.png, 96.00, 90.00, -155.2, 200.4
tek00167.png, 96.00, 88.99, -153.4, 210.2
tek00168.png, 96.00, 88.63, -151.3, 220.0
tek00169.png, 96.00, 86.00, -150.1, 229.7
tek00170.png, 96.00, 86.00, -149.5, 240.3
tek00171.png, 96.00, 86.00, -147.5, 249.9
tek00172.png, 96.00, 86.00, -144.2, 260.0
tek00173.png, 96.00, 86.00, -143.6, 269.9
tek00174.png, 96.00, 86.75, -144.8, 280.4
tek00175.png, 96.00, 82.00, -142.9, 290.3
tek00176.png, 96.00, 82.00, -141.2, 299.5
tek00177.png, 96.00, 82.00, -138.9, 310.1
tek00178.png, 96.00, 82.00, -138.1, 319.8
tek00179.png, 96.00, 82.00, -136.8, 330.6
tek00180.png, 96.00, 82.83, -135.6, 340.0
tek00181.png, 96.00, 83.57, -134.7, 349.8
tek00182.png, 96.00, 80.81, -134.7, 359.8
tek00183.png, 96.00, 78.00, -132.5, 380.6
tek00184.png, 96.00, 78.00, -131.1, 399.6
tek00185.png, 96.00, 76.93, -127.1, 419.8
tek00186.png, 96.00, 74.00, -127.2, 440.4
tek00187.png, 96.00, 74.00, -125.6, 459.6
tek00188.png, 96.00, 75.75, -124.0, 480.4
tek00189.png, 96.00, 70.00, -121.9, 500.6
tek00190.png, 96.00, 70.00, -117.1, 519.3
tek00191.png, 96.00, 70.00, -116.0, 540.2
tek00192.png, 96.00, 66.00, -113.6, 559.8
tek00193.png, 96.00, 66.00, -111.8, 579.5
tek00194.png, 96.00, 66.00, -111.6, 601.2
tek00195.png, 96.00, 67.86, -108.5, 619.1
tek00196.png, 96.00, 62.00, -110.6, 638.9
tek00197.png, 96.00, 62.00, -108.3, 657.6
tek00198.png, 96.00, 63.62, -105.1, 700.6
tek00199.png, 96.00, 58.00, -104.4, 719.7
tek00200.png, 96.00, 58.00, -102.5, 739.6
tek00201.png, 96.00, 58.00, -98.16, 759.3
tek00202.png, 96.00, 58.77, -96.37, 781.4
tek00203.png, 96.00, 56.84, -99.00, 800.5
tek00204.png, 96.00, 54.00, -92.16, 848.5
tek00205.png, 96.00, 52.00, -91.01, 900.1
tek00206.png, 96.00, 50.00, -90.51, 952.6
tek00207.png, 96.00, 48.00, -86.00, 999.4
tek00208.png, 96.00, 49.93, -82.74, 1050.0
tek00209.png, 96.00, 44.00, -80.65, 1102.0
tek00210.png, 96.00, 44.00, -76.77, 1150.0
tek00211.png, 96.00, 42.00, -78.03, 1198.0
tek00212.png, 96.00, 40.00, -74.12, 1252.0
tek00213.png, 96.00, 40.00, -71.27, 1301.0
tek00214.png, 96.00, 41.46, -67.21, 1399.0
tek00215.png, 96.00, 36.00, -62.04, 1500.0
tek00216.png, 96.00, 37.52, -57.86, 1597.0
tek00217.png, 96.00, 32.00, -56.41, 1701.0
tek00218.png, 96.92, 32.00, -51.22, 1799.0
tek00219.png, 92.00, 34.14, -50.68, 1896.0
tek00220.png, 92.00, 32.48, -46.93, 2003.0
tek00221.png, 92.00, 28.00, -43.43, 2101.0
tek00222.png, 92.00, 30.68, -39.57, 2198.0
tek00223.png, 92.00, 29.99, -39.85, 2295.0
tek00224.png, 92.00, 28.98, -35.27, 2402.0
tek00225.png, 92.00, 28.27, -33.82, 2501.0
tek00226.png, 92.00, 28.10, -29.59, 2602.0
tek00227.png, 92.89, 27.88, -26.90, 2694.0
tek00228.png, 88.00, 27.16, -27.38, 2805.0
tek00229.png, 88.00, 26.68, -21.20, 2905.0
tek00230.png, 88.00, 26.55, -19.16, 2997.0
