image, V1 [mVpp], V2 [Vpp], phase, frequency [kHz]
tek00005.png, 96.00, 9.696, 179.6,  0.09996
tek00006.png, 96.00, 9.679, -179.0, 0.2002
tek00007.png, 96.00, 9.764, -178.8, 0.3002
tek00008.png, 96.00, 9.758, -178.8, 0.4007
tek00009.png, 96.00, 9.763, -176.5, 0.4994
tek00010.png, 96.00, 9.689, -177.2, 0.6008
tek00011.png, 96.00, 9.479, -173.6, 0.7009
tek00012.png, 96.00, 9.491, -177.0, 0.7997
tek00013.png, 96.00, 9.469, -172.1, 0.8992
tek00014.png, 96.00, 9.480, -175.8, 1.000
tek00015.png, 96.00, 9.467, -170.4, 1.098
tek00016.png, 96.00, 9.457, -170.5, 1.200
tek00017.png, 96.00, 9.200, -172.5, 1.300
tek00018.png, 96.00, 9.455, -173.2, 1.398
tek00019.png, 96.00, 9.200, -170.8, 1.503
tek00020.png, 96.00, 9.200, -167.9, 2.002
tek00021.png, 96.00, 9.200, -165.1, 2.499
tek00022.png, 96.00, 9.062, -164.3, 3.003
tek00023.png, 96.00, 8.800, -159.7, 3.499
tek00024.png, 96.00, 8.800, -156.6, 3.991
tek00025.png, 96.00, 8.400, -150.5, 5.007
tek00026.png, 96.00, 8.000, -148.0, 6.002
tek00027.png, 96.00, 7.600, -141.3, 6.991
tek00028.png, 96.00, 7.200, -138.0, 7.977
tek00029.png, 96.00, 6.800, -134.0, 8.997
tek00030.png, 96.00, 6.400, -133.6, 10.03
tek00031.png, 96.00, 6.000, -128.1, 11.01
tek00032.png, 96.00, 5.880, -125.1, 11.99
tek00033.png, 96.00, 5.600, -124.4, 13.01
tek00034.png, 98.71, 5.200, -124.8, 14.01
tek00035.png, 98.58, 5.000, -117.6, 14.97
tek00036.png, 98.88, 4.800, -121.0, 15.96
tek00037.png, 98.84, 4.683, -117.4, 17.00
tek00038.png, 100.8, 4.640, -116.2, 17.98
tek00039.png, 100.8, 4.285, -113.4, 18.98
tek00040.png, 100.7, 4.094, -118.1, 20.02
tek00041.png, 100.8, 3.800, -112.0, 20.98
tek00042.png, 101.8, 4.034, -110.4, 21.99
tek00043.png, 101.9, 3.821, -111.6, 22.98
