image, V1 [Vpp], V2 [mVpp], phase, frequency [kHz]
tek00332.png, 1.000, 940.0, 11.80, 0.9989
tek00333.png, 1.000, 900.0, 20.74, 1.999
tek00334.png, 1.010, 820.0, 29.37, 3.000
tek00335.png, 1.000, 767.1, 33.75, 3.997
tek00336.png, 1.010, 708.4, 42.76, 5.009
tek00337.png, 1.000, 620.0, 45.64, 6.007
tek00338.png, 1.000, 589.3, 50.80, 6.999
tek00339.png, 1.000, 520.0, 50.40, 7.997
tek00340.png, 1.000, 480.0, 50.06, 9.023
tek00341.png, 1.000, 440.0, 54.58, 9.986
tek00342.png, 1.000, 420.5, 53.02, 10.99
tek00343.png, 1.000, 414.4, 57.00, 12.00
tek00344.png, 1.000, 360.0, 56.83, 13.01
tek00345.png, 1.000, 364.8, 58.28, 14.00
tek00346.png, 1.000, 349.9, 59.38, 15.00
tek00347.png, 1.000, 331.2, 62.08, 15.99
tek00348.png, 1.000, 318.7, 62.80, 16.99
tek00349.png, 1.000, 301.8, 60.04, 17.99
tek00350.png, 1.000, 202.2, 60.46, 18.99
tek00351.png, 1.000, 274.3, 60.43, 20.02
tek00352.png, 1.000, 265.0, 65.02, 20.99
tek00353.png, 1.000, 257.0, 63.69, 22.02
tek00354.png, 1.000, 244.0, 62.57, 23.02
tek00355.png, 1.000, 239.6, 50.02, 23.99
tek00356.png, 1.000, 229.3, 50.02, 25.03
tek00357.png, 1.000, 221.6, 61.80, 26.03
tek00358.png, 1.000, 216.3, 61.93, 27.06
tek00359.png, 1.000, 208.3, 50.02, 27.99
tek00360.png, 1.000, 204.8, 58.35, 29.05
tek00361.png, 1.000, 199.2, 60.85, 30.02
