image, V1 [Vpp], V2 [mVpp], phase, frequency [kHz]
tek00566.png, 10.00, 131.2, 82.55, 0.1002
tek00567.png, 10.00, 94.98, 96.54, 0.1001
tek00568.png, 9.800, 176.0, 101.6, 0.2005
tek00569.png, 10.00, 260.7, 105.8, 0.3002
tek00570.png, 10.00, 348.0, 110.7, 0.4005
tek00571.png, 10.09, 424.0, 113.1, 0.4996
tek00572.png, 10.10, 492.0, 119.3, 0.6019
tek00573.png, 10.06, 547.3, 121.4, 0.7004
tek00574.png, 10.06, 600.0, 127.5, 0.7995
tek00575.png, 10.07, 651.9, 127.3, 0.8979
tek00576.png, 10.06, 680.0, 133.3, 0.9998
tek00577.png, 10.15, 722.8, 134.6, 1.101
tek00578.png, 9.882, 776.0, 139.0, 1.301
tek00579.png, 9.880, 808.0, 141.4, 1.396
tek00580.png, 9.886, 824.0, 144.6, 1.501
tek00581.png, 9.855, 840.0, 144.8, 1.601
tek00582.png, 9.866, 856.0, 146.7, 1.699
tek00583.png, 9.874, 872.0, 148.7, 1.797
tek00584.png, 9.842, 888.0, 150.2, 1.899
tek00585.png, 9.867, 898.4, 150.0, 1.997
tek00586.png, 9.600, 904.0, 151.9, 2.098
tek00587.png, 9.600, 923.2, 153.0, 2.203
tek00588.png, 9.600, 920.0, 154.0, 2.299
tek00589.png, 9.600, 938.0, 155.2, 2.398
tek00590.png, 9.600, 936.0, 156.0, 2.502
tek00591.png, 9.600, 960.0, 161.2, 2.996
tek00592.png, 9.600, 980.0, 167.5, 4.997
tek00593.png, 9.600, 987.7, 168.8, 4.001
tek00594.png, 9.600, 940.0, 159.2, 3.000
tek00595.png, 9.600, 980.0, 174.5, 5.995
tek00596.png, 9.600, 980.0, 172.6, 7.005
tek00597.png, 9.600, 980.0, 177.8, 7.991
tek00598.png, 9.600, 1000.0, 176.0, 9.008
tek00599.png, 9.600, 1006.0, 179.7, 9.999
tek00600.png, 9.600, 1008.0, -172.4, 20.00
tek00601.png, 9.600, 980.0, -163.6, 29.96
tek00602.png, 9.600, 987.3, -158.5, 40.10
tek00603.png, 9.600, 940.0, -156.6, 49.95
tek00604.png, 9.600, 940.0, -146.8, 59.96
tek00605.png, 9.600, 900.0, -145.9, 70.00
tek00606.png, 9.600, 900.0, -140.2, 74.12
tek00607.png, 9.600, 887.0, -140.0, 80.06
tek00608.png, 9.600, 860.0, -139.2, 85.00
tek00609.png, 9.600, 860.0, -137.0, 90.03
tek00610.png, 9.600, 860.0, -131.8, 90.86
tek00611.png, 9.600, 860.0, -131.4, 92.06
tek00612.png, 9.600, 866.4, -130.2, 93.12
tek00613.png, 9.600, 874.3, -130.7, 94.17
tek00614.png, 9.600, 846.8, -132.1, 94.98
tek00615.png, 9.600, 820.0, -130.2, 96.15
tek00616.png, 9.600, 820.0, -129.5, 96.78
tek00617.png, 9.600, 820.0, -129.0, 98.05
tek00618.png, 9.600, 820.0, -128.3, 98.91
tek00619.png, 9.600, 820.0, -128.0, 100.1
tek00620.png, 9.600, 820.0, -127.7, 101.1
tek00621.png, 9.600, 820.0, -130.8, 102.1
tek00622.png, 9.600, 820.0, -131.1, 103.2
tek00623.png, 9.600, 820.0, -130.8, 104.0
tek00624.png, 9.600, 820.0, -130.2, 105.0
tek00625.png, 9.600, 820.0, -129.9, 105.8
tek00626.png, 9.600, 820.0, -130.0, 107.0
tek00627.png, 9.600, 820.0, -130.0, 107.0
tek00628.png, 9.600, 828.1, -129.4, 109.1
tek00629.png, 9.600, 828.1, -129.4, 109.1
tek00630.png, 9.600, 808.9, -126.4, 110.8
tek00631.png, 9.600, 805.9, -126.1, 112.1
tek00632.png, 9.600, 807.2, -125.7, 113.1
tek00633.png, 9.600, 780.0, -127.4, 113.9
