image, V1 [mVpp], V2 [mVpp], phase, frequency [kHz]
tek00366.png, 1000.0, 41.87, -178.4, 0.1000
tek00367.png, 800.0, 37.11, -160.2, 0.2086
tek00368.png, 1009.0, 41.95, -113.0, 0.2002
tek00369.png, 940.0, 51.02, -78.87, 0.3022
tek00370.png, 1008.0, 54.22, -70.39, 0.3996
tek00371.png, 1008.0, 65.78, -57.37, 0.4995
tek00372.png, 1010.0, 5.472, -78.76, 0.05000
tek00373.png, 1009.0, 10.24, 96.95, 0.09992
tek00374.png, 1007.0, 13.20, 96.80, 0.1500
tek00375.png, 1000.0, 17.60, 101.7, 0.1998
tek00376.png, 1009.0, 22.40, 106.0, 0.2502
tek00377.png, 1000.0, 26.40, 107.2, 0.2998
tek00378.png, 1009.0, 30.80, 106.4, 0.3507
tek00379.png, 1000.0, 30.40, 110.1, 0.3404
tek00380.png, 1009.0, 33.60, 111.9, 0.3999
tek00381.png, 1009.0, 38.40, 109.1, 0.4504
tek00382.png, 1008.0, 41.60, 112.3, 0.5003
tek00383.png, 1009.0, 44.80, 118.5, 0.5495
tek00384.png, 1008.0, 48.00, 119.9, 0.6006
tek00385.png, 1007.0, 51.20, 118.5, 0.6518
tek00386.png, 1007.0, 54.40, 120.3, 0.6979
tek00387.png, 1006.0, 57.60, 126.2, 0.7501
tek00388.png, 1006.0, 59.20, 127.6, 0.7997
tek00389.png, 1006.0, 62.40, 129.0, 0.8493
tek00390.png, 980.0, 64.00, 129.5, 0.9009
tek00391.png, 980.0, 66.40, 131.3, 0.9512
tek00392.png, 980.0, 68.80, 132.7, 1.003
tek00393.png, 980.0, 70.40, 133.3, 1.051
tek00394.png, 980.0, 72.00, 134.3, 1.101
tek00395.png, 980.0, 73.60, 136.0, 1.149
tek00396.png, 980.0, 75.20, 137.3, 1.202
tek00397.png, 980.0, 76.80, 138.0, 1.251
tek00398.png, 980.0, 78.40, 139.6, 1.298
tek00399.png, 980.0, 78.40, 140.7, 1.351
tek00400.png, 980.0, 80.00, 141.9, 1.401
tek00401.png, 980.0, 80.00, 143.9, 1.450
tek00402.png, 980.0, 80.00, 144.6, 1.502
tek00403.png, 980.0, 80.00, 143.1, 1.552
tek00404.png, 990.0, 85.45, 144.8, 1.599
tek00405.png, 980.0, 84.91, 146.1, 1.651
tek00406.png, 980.0, 84.00, 146.5, 1.702
tek00407.png, 980.0, 84.00, 146.8, 1.750
tek00408.png, 989.3, 84.00, 150.0, 1.798
tek00409.png, 980.0, 84.00, 149.9, 1.849
tek00410.png, 980.0, 88.55, 150.5, 1.896
tek00411.png, 989.2, 88.00, 151.4, 1.949
tek00412.png, 980.0, 88.00, 152.9, 2.005
tek00413.png, 990.0, 88.00, 151.9, 2.051
tek00414.png, 989.3, 88.00, 152.4, 2.099
tek00415.png, 988.9, 88.00, 152.3, 2.149
tek00416.png, 989.9, 88.00, 153.9, 2.199
tek00417.png, 989.1, 90.66, 152.7, 2.250
tek00418.png, 989.4, 90.91, 156.8, 2.300
