tek, U1 [mVpp], U2 [V], phase, f [Hz]
tek00005.png, 54.38, 2.080, -176.8, 999.6
tek00006.png, 60.28, 2.356, -175.3, 996.9
tek00007.png, 65.69, 2.480, -177.0, 1003.0
tek00008.png, 64.00, 2.720, -178.5, 995.0
tek00009.png, 75.58, 2.970, -177.2, 1000.0
tek00010.png, 72.00, 3.154, -176.6, 1002.0
tek00011.png, 80.00, 3.280, -177.4, 999.2
tek00012.png, 90.91, 3.555, 179.1, 1002.0
tek00013.png, 88.00, 3.760, -177.9, 996.4
tek00014.png, 92.00, 3.920, 179.3, 999.7
tek00015.png, 96.00, 4.080, -178.4, 996.8
tek00016.png, 104.0, 4.400, -178.1, 1000.0
tek00017.png, 108.0, 4.560, -179.5, 1002.0
tek00018.png, 114.0, 4.800, -176.7, 1001.0
tek00019.png, 116.0, 4.960, -179.8, 997.5
tek00020.png, 125.7, 5.120, -179.9, 1000.0
tek00021.png, 124.0, 5.360, -179.0, 1000.0
tek00022.png, 132.0, 5.520, -178.8, 998.8
tek00023.png, 132.0, 5.866, -178.4, 998.5
tek00024.png, 140.0, 6.000, -178.5, 1000.0
tek00025.png, 150.0, 6.160, -178.6, 1000.0
tek00026.png, 148.0, 6.437, -177.5, 999.5
tek00027.png, 156.0, 6.560, -177.8, 1002.0
tek00028.png, 160.0, 6.720, 174.4, 999.0
tek00029.png, 164.0, 6.960, -177.0, 1001.0
tek00030.png, 168.0, 7.120, -176.2, 1001.0
tek00031.png, 177.5, 7.391, 172.0, 999.6
tek00032.png, 180.0, 7.520, -176.6, 999.2
tek00033.png, 184.0, 7.680, 173.7, 1001.0
tek00034.png, 188.0, 7.840, -176.8, 999.6
tek00035.png, 196.0, 7.920, 173.9, 1000.0
tek00036.png, 200.0, 8.160, 171.9, 1000.0
tek00037.png, 204.0, 8.320, 173.2, 999.7
tek00038.png, 212.0, 8.589, 172.7, 999.7
tek00039.png, 216.0, 8.720, 171.3, 999.8
tek00040.png, 220.0, 8.880, 172.5, 1001.0
tek00041.png, 229.2, 8.960, 172.6, 999.1
tek00042.png, 228.0, 9.200, 171.5, 999.2
tek00043.png, 236.0, 9.360, 172.3, 1000.0
tek00044.png, 243.3, 9.400, -172.2, 1004.0
tek00045.png, 240.0, 9.698, -175.2, 997.3
tek00046.png, 248.0, 9.800, -174.7, 997.8
tek00047.png, 248.0, 9.800, -174.8, 998.9
tek00048.png, 256.0, 10.26, -173.5, 1002.0
tek00049.png, 266.0, 10.20, -175.6, 999.8
tek00050.png, 264.0, 10.40, -173.5, 998.4
tek00051.png, 272.0, 10.40, -172.2, 999.2
tek00052.png, 272.0, 10.60, -170.5, 1004.0
tek00053.png, 280.0, 10.80, -173.0, 998.8
tek00054.png, 288.0, 11.08, -170.6, 1000.0
tek00055.png, 288.0, 11.00, -171.0, 1002.0
tek00056.png, 299.1, 11.26, -172.1, 1001.0
