tek, V1 [mVpp], V2 [V], phase, freq [Hz]
tek00058.png, 85.94, 2.400, 139.6, 29.89
tek00059.png, 85.09, 2.640, 147.9, 40.02
tek00060.png, 85.08, 2.800, 151.7, 49.86
tek00061.png, 84.33, 2.880, 158.2, 59.87
tek00062.png, 84.50, 2.880, 160.5, 70.13
tek00063.png, 85.19, 2.880, 161.5, 79.95
tek00064.png, 84.89, 3.040, 165.4, 90.27
tek00065.png, 80.00, 3.120, 166.4, 100.3
tek00066.png, 85.17, 3.120, 166.5, 110.4
tek00067.png, 85.09, 3.120, 168.0, 120.1
tek00068.png, 80.00, 3.200, 166.9, 129.9
tek00069.png, 80.00, 3.200, 166.8, 140.3
tek00070.png, 80.00, 3.200, 170.8, 150.0
tek00071.png, 80.00, 3.200, 171.6, 159.9
tek00072.png, 80.00, 3.200, 172.8, 169.5
tek00073.png, 80.00, 3.200, 169.2, 181.0
tek00074.png, 80.00, 3.200, 169.5, 100.0
tek00075.png, 80.00, 3.200, 174.8, 199.5
tek00076.png, 80.00, 3.200, 174.5, 200.6
tek00077.png, 81.94, 3.200, 176.8, 220.4
tek00078.png, 84.88, 3.200, 172.6, 229.6
tek00079.png, 80.00, 3.200, 171.2, 240.6
tek00080.png, 80.00, 3.200, 175.2, 248.7
tek00081.png, 80.00, 3.200, 171.4, 259.5
tek00082.png, 85.28, 3.200, 172.3, 269.6
tek00083.png, 80.00, 3.298, 170.1, 280.4
tek00084.png, 81.88, 3.307, 169.7, 290.3
tek00085.png, 80.00, 3.312, 179.0, 301.6
tek00086.png, 80.00, 3.426, 178.8, 399.5
tek00087.png, 81.86, 3.384, 173.4, 498.8
tek00088.png, 80.00, 3.317, -179.1, 602.3
tek00089.png, 80.00, 3.386, 179.7, 699.6
tek00090.png, 84.83, 2.880, 177.0, 994.8
tek00091.png, 81.86, 3.385, -178.1, 1000.0
tek00092.png, 81.95, 3.392, 177.7, 1505.0
tek00093.png, 81.88, 3.384, 177.8, 1999.0
tek00094.png, 80.00, 3.280, 176.4, 2494.0
tek00095.png, 80.00, 3.280, 176.9, 2997.0
tek00096.png, 85.42, 3.395, 180.0, 4013.0
tek00097.png, 81.94, 3.360, 178.7, 4996.0
tek00098.png, 80.00, 3.388, -178.0, 6031.0
tek00099.png, 80.00, 3.390, -179.5, 6984.0
tek00100.png, 80.00, 3.386, -178.9, 7984.0
tek00101.png, 80.00, 3.394, -179.1, 8986.0
tek00102.png, 80.00, 3.383, -177.8, 9980.0
tek00103.png, 80.00, 3.386, -176.8, 15030.0
tek00104.png, 80.00, 3.280, -177.4, 20000.0
tek00105.png, 80.00, 3.312, -176.0, 25030.0
tek00106.png, 84.67, 3.200, -171.3, 30040.0
tek00107.png, 80.00, 3.200, -170.4, 35110.0
tek00108.png, 85.91, 3.200, -169.8, 39960.0
tek00109.png, 85.38, 3.236, -165.6, 44990.0
tek00110.png, 81.95, 3.235, -162.5, 50110.0
tek00111.png, 80.00, 3.120, -166.4, 54940.0
tek00112.png, 81.86, 3.120, -167.2, 60480.0
tek00113.png, 86.61, 3.149, -159.1, 65190.0
tek00114.png, 80.00, 3.040, -157.9, 70230.0
tek00115.png, 81.91, 3.040, -161.8, 74740.0
tek00116.png, 80.00, 3.073, -159.7, 79960.0
tek00117.png, 85.03, 3.071, -157.4, 85160.0
tek00118.png, 85.64, 2.960, -154.3, 89830.0
tek00119.png, 85.41, 2.960, -157.1, 94540.0
tek00120.png, 85.34, 2.880, -153.7, 99280.0
tek00121.png, 85.73, 2.880, -152.8, 105100.0
tek00122.png, 86.02, 2.916, -151.0, 109700.0
tek00123.png, 85.63, 2.800, -150.9, 114900.0
tek00124.png, 84.98, 2.800, -152.4, 119500.0
tek00125.png, 85.30, 2.720, -147.4, 129900.0
tek00126.png, 84.98, 2.759, -145.2, 139900.0
tek00127.png, 85.06, 2.640, -141.5, 150200.0
tek00128.png, 85.16, 2.560, -142.1, 160800.0
tek00129.png, 80.00, 2.480, -142.5, 169800.0
tek00130.png, 81.88, 2.520, -143.3, 180400.0
tek00131.png, 85.19, 2.400, -137.1, 189400.0
tek00132.png, 83.95, 2.320, -138.0, 199300.0
tek00133.png, 84.30, 2.320, -136.0, 210500.0
tek00134.png, 85.22, 2.240, -133.9, 219700.0
tek00135.png, 84.75, 2.160, -128.6, 230300.0
tek00136.png, 84.52, 2.195, -128.4, 239200.0
tek00137.png, 84.72, 2.080, -129.2, 250600.0
tek00138.png, 83.94, 2.000, -126.5, 260300.0
tek00139.png, 84.98, 2.000, -120.3, 270000.0
tek00140.png, 76.00, 2.031, -127.2, 280000.0
tek00141.png, 85.39, 1.957, -122.3, 289600.0
tek00142.png, 84.69, 1.840, -125.2, 300100.0
tek00143.png, 85.00, 1.915, -119.7, 320900.0
tek00144.png, 83.98, 1.680, -117.4, 340900.0
tek00145.png, 85.56, 1.773, -119.6, 361300.0
tek00146.png, 85.52, 1.520, -119.6, 379300.0
tek00147.png, 85.09, 1.560, -121.4, 399400.0
tek00148.png, 84.28, 1.360, -113.7, 449800.0
tek00149.png, 84.16, 1.462, -110.6, 457400.0
tek00150.png, 54.14, 0.9309, -115.3, 466300.0
